DATE,Belgium
1993M01,84.32232936734117
1993M02,85.87275001620668
1993M03,86.25447206340671
1993M04,83.67016001727289
1993M05,84.13643454823402
1993M06,86.51344822034983
1993M07,89.77122583582751
1993M08,92.17016604364464
1993M09,88.43868716275779
1993M10,90.78978075770799
1993M11,92.17845741106017
1993M12,90.79768281716076
1994M01,91.96956766895057
1994M02,90.89432069125925
1994M03,88.81004104074304
1994M04,89.00243475992977
1994M05,86.68664551351952
1994M06,85.35067432209215
1994M07,82.0622673739951
1994M08,81.93675040112088
1994M09,81.57756125094576
1994M10,80.06069654848413
1994M11,81.243879028831
1994M12,82.78965703748257
1995M01,80.79951347607397
1995M02,79.3079941350906
1995M03,74.69256179478039
1995M04,73.12188582286456
1995M05,74.91744823074553
1995M06,74.47082118449738
1995M07,73.52888024989267
1995M08,76.42521299923185
1995M09,77.75248017537035
1995M10,75.62839953642838
1995M11,75.47250244540191
1995M12,76.65059249575064
1996M01,77.5105896940533
1996M02,77.89181632186852
1996M03,78.80967097393597
1996M04,80.4357514053721
1996M05,82.24060012136191
1996M06,82.02036003927617
1996M07,80.58094124610204
1996M08,79.31045254376238
1996M09,80.95744785717456
1996M10,82.22914802109582
1996M11,81.36994664732015
1996M12,83.43948879262389
1997M01,85.92923860245455
1997M02,90.11719833662768
1997M03,92.01996720801561
1997M04,92.89774198489889
1997M05,92.27739957658022
1997M06,93.5777622125563
1997M07,96.4143011191485
1997M08,99.19884522911676
1997M09,96.98337986069134
1997M10,95.42116953992543
1997M11,93.8006203321643
1997M12,96.17485362323754
1998M01,98.47025373371127
1998M02,98.37052547385407
1998M03,99.34882309143842
1998M04,98.49032790823799
1998M05,96.03648755089
1998M06,97.14009973518547
1998M07,97.33552096827003
1998M08,97.24797184263689
1998M09,92.8617026128314
1998M10,89.50022874232789
1998M11,91.92315216580295
1998M12,91.22725644186929
1999M01,91.97569298511998
1999M02,95.19531354527652
1999M03,98.24594316498657
1999M04,100.23009118730333
1999M05,100.77318720086882
1999M06,103.39730657201166
1999M07,103.83700002906333
1999M08,101.72148451321513
1999M09,102.98565077473975
1999M10,101.05064850120274
1999M11,104.49260790455565
1999M12,106.53487499626874
2000M01,106.36147990084855
2000M02,109.85676581701709
2000M03,112.50936935170077
2000M04,114.46223486150289
2000M05,119.41566925552989
2000M06,114.14322345389266
2000M07,115.34086648930294
2000M08,119.92606397481426
2000M09,124.12088977086786
2000M10,127.13255050160866
2000M11,126.57231155510084
2000M12,121.08641561605762
2001M01,116.62059943282198
2001M02,118.67865899307199
2001M03,120.30507828123784
2001M04,122.10275696216736
2001M05,124.34992919747901
2001M06,127.37058545032812
2001M07,126.02675500054444
2001M08,120.47512117241924
2001M09,119.26236199735011
2001M10,119.72175251099216
2001M11,121.71362362715553
2001M12,121.04458186174493
2002M01,121.76985780387459
2002M02,123.88390016931305
2002M03,123.43197105557093
2002M04,122.68919940354102
2002M05,118.34467827100949
2002M06,113.99378311687808
2002M07,109.50676444583245
2002M08,111.52258344831257
2002M09,111.05563898043546
2002M10,111.32627143289915
2002M11,109.16040292198967
2002M12,107.07933765747605
2003M01,102.6454562797315
2003M02,101.26453753037951
2003M03,101.29936553083873
2003M04,100.9409514719738
2003M05,94.65831977365274
2003M06,93.81821909271574
2003M07,96.13984502398384
2003M08,98.27660734342878
2003M09,97.61413917306744
2003M10,93.83969434489606
2003M11,93.35099139335613
2003M12,88.87009242938463
2004M01,86.71690501537527
2004M02,86.63466748012591
2004M03,89.80293391586893
2004M04,91.67572855989455
2004M05,91.69344342547146
2004M06,90.9944144784621
2004M07,89.63824150322729
2004M08,90.23693804504633
2004M09,90.0480845999804
2004M10,88.13698140489754
2004M11,84.87517263811225
2004M12,82.20285651079058
2005M01,83.93947005032575
2005M02,84.55618570392026
2005M03,83.48141150835279
2005M04,85.54530873467428
2005M05,86.97736244797575
2005M06,90.52468902738296
2005M07,91.35882910459183
2005M08,89.82905611382307
2005M09,91.1104468593432
2005M10,93.28241276988334
2005M11,94.36795193322807
2005M12,93.43745327660415
2006M01,92.20763686048151
2006M02,93.25628092170409
2006M03,93.16992848609304
2006M04,91.60353477897958
2006M05,88.12733214481456
2006M06,89.15063097034168
2006M07,88.87246021351406
2006M08,88.0440739883763
2006M09,88.42696371924292
2006M10,88.95726339252192
2006M11,86.75645971527226
2006M12,84.57894226166987
2007M01,86.19725648022495
2007M02,85.69811536964473
2007M03,85.37350527047455
2007M04,83.8070859621169
2007M05,84.44355926427849
2007M06,85.20253422782461
2007M07,82.98279218866901
2007M08,83.50484368849342
2007M09,82.01874540382612
2007M10,79.84899175213019
2007M11,77.10658842125812
2007M12,77.44519853060217
2008M01,76.73486898247755
2008M02,76.2578676112563
2008M03,72.53960821687934
2008M04,71.76631468372568
2008M05,72.62025372930091
2008M06,72.97137135959206
2008M07,71.96759226883408
2008M08,75.97457610032605
2008M09,78.92340462688668
2008M10,84.51509764753652
2008M11,87.14496103782497
2008M12,82.00057783707287
2009M01,83.43775283265754
2009M02,86.50040475793513
2009M03,85.50402487201922
2009M04,84.56541840558512
2009M05,82.02807777642595
2009M06,80.70448861522131
2009M07,80.22097954598362
2009M08,79.13887567569721
2009M09,77.80374183928899
2009M10,76.50232148149865
2009M11,75.86385740561428
2009M12,77.17159097943112
2010M01,78.9172710587388
2010M02,81.9653842414286
2010M03,82.70498823776055
2010M04,83.56438409422299
2010M05,88.90669226324857
2010M06,91.38870013288762
2010M07,87.38285430795491
2010M08,86.58767188169504
2010M09,85.24934862327667
2010M10,80.1022452030464
2010M11,81.45988848000198
2010M12,83.94822627681928
2011M01,83.0266594356655
2011M02,81.1688187756438
2011M03,79.52611265088925
2011M04,77.3905052729872
2011M05,78.00848987373284
2011M06,77.45243635067133
2011M07,78.10712980495708
2011M08,77.95115427193788
2011M09,81.12320145684062
2011M10,81.20846949532336
2011M11,81.70284776804584
2011M12,83.80201671030024
2012M01,85.32912346474207
2012M02,83.1399907729326
2012M03,83.73574190271275
2012M04,84.17841582627399
2012M05,86.5805799557063
2012M06,88.44983690135807
2012M07,89.85738687673656
2012M08,89.15251937040124
2012M09,86.23500406539966
2012M10,85.24810759477293
2012M11,85.91066756189942
2012M12,83.76692250308825
2013M01,82.97895182426218
2013M02,82.94706337494131
2013M03,85.57212712600904
2013M04,85.10874624351405
2013M05,85.42130836560811
2013M06,84.14307726257985
2013M07,84.7934856185654
2013M08,83.47385499624303
2013M09,83.28861797955607
2013M10,81.38511960164035
2013M11,82.01434340685476
2013M12,80.61851904982129
2014M01,81.35828134495709
2014M02,81.24396141184599
2014M03,80.74702654763067
2014M04,81.32128653368657
2014M05,82.17743782765622
2014M06,83.10592147755021
2014M07,83.26167133030945
2014M08,84.83551383291866
2014M09,87.70494987371707
2014M10,88.94042100372963
2014M11,89.99731827512558
2014M12,90.61490013808356
2015M01,95.85775227436383
2015M02,98.13483645712438
2015M03,103.35321805588175
2015M04,103.71703052012188
2015M05,100.62275710716492
2015M06,100.24108217470446
2015M07,102.228491884577
2015M08,100.72157661052162
2015M09,99.73741732006684
2015M10,99.23881484684745
2015M11,103.51774780160012
2015M12,101.95159449062868
2016M01,102.16588575801349
2016M02,100.0522712411291
2016M03,99.52830081725367
2016M04,97.69792895814716
2016M05,98.03299044765794
2016M06,98.96591292365493
2016M07,100.11353859985923
2016M08,98.97590045257189
2016M09,99.41910907053165
2016M10,100.93771583825779
2016M11,102.85441271515057
2016M12,105.2337958837755
2017M01,104.38359757034112
2017M02,104.04028490257653
2017M03,103.48343040457941
2017M04,103.24574949748906
2017M05,100.29586733400106
2017M06,98.98944082956963
2017M07,96.2244696274713
2017M08,94.02059372783604
2017M09,93.76580775525142
2017M10,94.70000564223889
2017M11,94.72604610293494
2017M12,93.7015513715057
2018M01,91.1529411647717
2018M02,90.31821290976099
2018M03,90.47803213709578
2018M04,91.01021996092719
2018M05,94.78891531134099
2018M06,95.92447504134964
2018M07,95.5004294434926
2018M08,96.55807152274934
2018M09,95.75488756673128
2018M10,96.72746844096494
2018M11,97.24244403742948
2018M12,97.01555762489703
2019M01,96.97195191309984
2019M02,97.62599165345128
2019M03,98.30002873199493
2019M04,99.33108207419028
2019M05,99.99999999999999
