DATE,Chile
1993M01,90.62299957297586
1993M02,91.51410544637373
1993M03,93.50745452200933
1993M04,93.39632691044633
1993M05,93.05229970414922
1993M06,92.33835540818245
1993M07,91.77660799215317
1993M08,90.74542751868135
1993M09,90.00384574389113
1993M10,89.05847949894459
1993M11,89.02334433535266
1993M12,91.69652235210867
1994M01,92.00817557480082
1994M02,91.66031185223066
1994M03,91.32252448632146
1994M04,89.73467558565757
1994M05,88.5809313666957
1994M06,87.57352141915176
1994M07,87.24852712155896
1994M08,86.4211888679384
1994M09,85.29089305244887
1994M10,84.30257221924545
1994M11,84.16238413460347
1994M12,81.64830266936332
1995M01,82.1782424261569
1995M02,83.37788843884773
1995M03,82.80783134608492
1995M04,79.33380599902046
1995M05,75.56893869909467
1995M06,74.45084806146235
1995M07,74.71929120275482
1995M08,75.49764185040588
1995M09,76.6145027397308
1995M10,78.60525337632785
1995M11,79.59639460481932
1995M12,78.67575085579692
1996M01,78.83447282104906
1996M02,79.15204940403977
1996M03,79.09888929283434
1996M04,78.00926448522202
1996M05,77.11561696088381
1996M06,77.52656699707065
1996M07,77.61394600698733
1996M08,77.50310264243035
1996M09,77.51059328531423
1996M10,77.89907081097807
1996M11,78.57800818074925
1996M12,78.73763620510496
1997M01,78.84596549569395
1997M02,77.0322161284948
1997M03,76.58754040475877
1997M04,77.08232331339805
1997M05,77.04621429178391
1997M06,76.71824538880006
1997M07,76.2274323566632
1997M08,75.7396567065408
1997M09,75.23822734501633
1997M10,74.42395448528366
1997M11,76.16819769314576
1997M12,78.35175625012917
1998M01,80.64008470806169
1998M02,80.02759683792581
1998M03,80.57213554992646
1998M04,80.61928858890765
1998M05,80.56437335881354
1998M06,80.87988784500415
1998M07,82.12816090036814
1998M08,83.11865266620872
1998M09,82.65468762573573
1998M10,80.99599289507847
1998M11,80.85839431335265
1998M12,81.98443208566313
1999M01,83.03323362847061
1999M02,86.17794191183303
1999M03,85.72500772522608
1999M04,84.25213532804261
1999M05,84.62551050384734
1999M06,87.49227487690781
1999M07,90.23883525933711
1999M08,89.62912022130209
1999M09,91.87227297201035
1999M10,94.20255300272207
1999M11,94.94443069144437
1999M12,93.6124419299558
2000M01,90.76670509318369
2000M02,89.47272123994296
2000M03,88.28192403171543
2000M04,88.35591433210259
2000M05,90.62790162471101
2000M06,92.3030642848127
2000M07,94.66366004751573
2000M08,95.85311660031952
2000M09,98.36136825043903
2000M10,98.27485703592137
2000M11,99.16656405742796
2000M12,99.00310780571084
2001M01,98.6881448357877
2001M02,97.99783258005517
2001M03,102.03622710411794
2001M04,103.85676514368275
2001M05,104.8902579833351
2001M06,107.02237185305978
2001M07,113.93845097376095
2001M08,115.9994999367774
2001M09,116.96871690757172
2001M10,121.00726417981086
2001M11,117.62346131587702
2001M12,114.06849436068173
2002M01,114.10138236574808
2002M02,116.52621028489119
2002M03,113.89038766415683
2002M04,111.96270258201501
2002M05,112.39229740678788
2002M06,116.01743636614579
2002M07,119.50540785917723
2002M08,120.47740239229128
2002M09,123.87313830034691
2002M10,125.60256933965078
2002M11,120.15228079528734
2002M12,119.14094849329247
2003M01,123.04733800043826
2003M02,126.87343773245256
2003M03,125.83570733202866
2003M04,121.45056481228326
2003M05,119.23200089156285
2003M06,120.3119909002701
2003M07,119.18038813560979
2003M08,119.88464053089349
2003M09,115.21233578980123
2003M10,110.25552338195814
2003M11,106.77711521297468
2003M12,103.14609869129211
2004M01,98.80085154740611
2004M02,101.17308962021039
2004M03,104.7997489614309
2004M04,105.49265621449032
2004M05,110.34348872444794
2004M06,111.5571345796179
2004M07,109.20355370088981
2004M08,109.45779625188679
2004M09,106.2911414226805
2004M10,104.93845308640552
2004M11,102.90396175322596
2004M12,99.3691176107068
2005M01,99.53898766532947
2005M02,100.11393258213546
2005M03,102.51395082231433
2005M04,101.23625261671016
2005M05,100.48553962822746
2005M06,101.36222522546076
2005M07,99.53319731773266
2005M08,94.6989655368852
2005M09,93.19506991155771
2005M10,92.72175854567745
2005M11,91.22980086111777
2005M12,88.49172437587097
2006M01,90.85160699148953
2006M02,91.32875181048914
2006M03,91.83223234457965
2006M04,90.03419632003356
2006M05,90.8639703608262
2006M06,94.27933771311552
2006M07,93.729452687402
2006M08,93.30295611835582
2006M09,92.85109079474601
2006M10,91.26182261934879
2006M11,90.67649011224
2006M12,90.7474838930562
2007M01,92.97085272493591
2007M02,93.93158011526201
2007M03,93.72626510115299
2007M04,92.7173737529686
2007M05,90.91773363010002
2007M06,91.0637563664145
2007M07,88.84181936348854
2007M08,88.25370084827846
2007M09,86.499136957486
2007M10,83.82253295691883
2007M11,84.61446492330153
2007M12,82.89934253320918
2008M01,80.27367842292816
2008M02,77.90284976067584
2008M03,73.87899385559051
2008M04,74.62681820841344
2008M05,78.34102578201839
2008M06,81.86863776641025
2008M07,82.80128544770325
2008M08,84.06588277151039
2008M09,85.22923391574436
2008M10,97.5478089727157
2008M11,100.9353927389693
2008M12,100.76331476411697
2009M01,97.90140780127062
2009M02,96.90860221346246
2009M03,97.35221253703742
2009M04,93.82266139033628
2009M05,91.4779522641948
2009M06,89.89577336092854
2009M07,88.07729037581566
2009M08,89.74439914687665
2009M09,89.14437825479477
2009M10,88.7125362222677
2009M11,82.91747675001712
2009M12,82.05175054249472
2010M01,81.77512998277929
2010M02,86.7688693506187
2010M03,85.50928573587345
2010M04,84.854916391096
2010M05,86.65955015160641
2010M06,87.13673212803108
2010M07,85.79678482676127
2010M08,82.38048645524935
2010M09,79.6203964609393
2010M10,78.04336689829492
2010M11,77.74903325966541
2010M12,76.56724408029274
2011M01,79.09536275397936
2011M02,77.07575664797415
2011M03,77.88161105476917
2011M04,76.77986383497469
2011M05,76.24683902484274
2011M06,76.30503481454052
2011M07,75.22598334822585
2011M08,75.93756284185419
2011M09,78.41553629760627
2011M10,82.39347778366097
2011M11,81.5315557128401
2011M12,82.23136198934755
2012M01,79.99665279086456
2012M02,76.86710604225537
2012M03,77.9470546700965
2012M04,78.24921204381602
2012M05,79.91322917128147
2012M06,81.4040677248426
2012M07,79.03236316352552
2012M08,77.58064019737627
2012M09,76.36705914695989
2012M10,75.96959046872776
2012M11,76.7881202672437
2012M12,76.05145985774588
2013M01,75.42708833367068
2013M02,75.90960344965589
2013M03,75.84075423441844
2013M04,76.06984372683509
2013M05,77.41543170277197
2013M06,80.85774979714976
2013M07,80.95027917658392
2013M08,82.13687294562666
2013M09,80.47523783103568
2013M10,79.60283039294065
2013M11,82.04852661429814
2013M12,83.15421906644691
2014M01,84.51027091573923
2014M02,87.14070718390855
2014M03,88.42404870128695
2014M04,86.75775918054165
2014M05,86.9911758988372
2014M06,86.63719151751292
2014M07,87.20099317590869
2014M08,90.01866417364509
2014M09,91.5614416858962
2014M10,89.74269713924336
2014M11,89.7250825501849
2014M12,92.67889136940403
2015M01,93.44579087530356
2015M02,93.86216191252686
2015M03,94.57044846216587
2015M04,92.15850426176505
2015M05,91.39630377787618
2015M06,94.62367848897081
2015M07,97.25314536975213
2015M08,102.08924456979368
2015M09,101.94750509912485
2015M10,100.54529421280996
2015M11,103.10249772015894
2015M12,102.77421131601895
2016M01,105.03813942297569
2016M02,102.23926573667421
2016M03,99.09062717701316
2016M04,97.46853097465542
2016M05,99.44806483763628
2016M06,99.14746202304553
2016M07,95.32576679803857
2016M08,95.55638085809136
2016M09,96.98371944986856
2016M10,96.26005345252533
2016M11,96.37865067111304
2016M12,96.76346521635097
2017M01,95.93503527959486
2017M02,93.39715444698257
2017M03,95.72113188353096
2017M04,94.97736412488095
2017M05,97.20734059720783
2017M06,96.76869877183141
2017M07,95.46090068424864
2017M08,93.5279922206329
2017M09,91.4347662060047
2017M10,91.42725776624381
2017M11,91.94619821247993
2017M12,92.2287532255383
2018M01,87.76868776516118
2018M02,86.87495457888156
2018M03,87.78445204144579
2018M04,87.48051348897393
2018M05,91.227397762427
2018M06,92.84407059215168
2018M07,94.89274867777873
2018M08,95.32954088039133
2018M09,98.695622592572
2018M10,97.96111550653731
2018M11,97.8392054470601
2018M12,98.14732275374826
2019M01,97.53880526875521
2019M02,94.80599655324087
2019M03,96.67271316455721
2019M04,96.75937004950032
2019M05,100.00000000000001
